ID,designation_header,strain_number_header,is_type_strain_header,species,genus
155841,,"CCUG 59461",0,"Winkia neuii subsp. anitrata",Winkia
150728,,"CCUG 42098",0,"Winkia neuii subsp. anitrata",Winkia
155937,,"CCUG 59688",0,"Winkia neuii subsp. anitrata",Winkia
150972,,"CCUG 42913",0,"Winkia neuii subsp. anitrata",Winkia
151317,,"CCUG 43734",0,"Winkia neuii subsp. anitrata",Winkia
167,97/90,"CCUG 32252, DSM 8576, ATCC 51847, CIP 104015",1,"Winkia neuii",Winkia
168948,Kr9-9,"KMM 8180, KACC 19709",1,"Winogradskyella algae",Winogradskyella
166729,IMCC33238,"KACC 21192, NBRC 113704",1,"Winogradskyella algicola",Winogradskyella
133739,DPG-24,"KCTC 23502, CCUG 60798",1,"Winogradskyella aquimaris",Winogradskyella
133478,R60,"KMM 3968, NRIC 0748, JCM 15527, KCTC 62506, CIP 110076",1,"Winogradskyella arenosi",Winogradskyella
167810,WNB302,"KCTC 52614, MCCC 1H00172",1,"Winogradskyella aurantia",Winogradskyella
159763,,"KACC 18883, KCTC 52240, JCM 31383, IMCC 20180",1,"Winogradskyella aurantiaca",Winogradskyella
167349,Z3138,"CCUG 74324, CECT 30065",1,"Winogradskyella costae",Winogradskyella
168079,TYO-19,"KCTC 42462, NBRC 110924",1,"Winogradskyella crassostreae",Winogradskyella
133845,F081-2,"KCTC 23552, JCM 17633",1,"Winogradskyella damuponensis",Winogradskyella
133461,,"KCTC 22026, LMG 24757, KMM 6211",1,"Winogradskyella echinorum",Winogradskyella
162287,,"JCM 18703, KCTC 32172",1,"Winogradskyella eckloniae",Winogradskyella
167450,HL2-2,"CICC 24857, KCTC 72882",1,"Winogradskyella endarachnes",Winogradskyella
152573,,"CCUG 47091, KMM 3906, KCTC 12220, LMG 22491",1,"Winogradskyella epiphytica",Winogradskyella
133539,022-2-26,"KMM 6013, CIP 109976",1,"Winogradskyella exilis",Winogradskyella
167528,,"KMM 3944, LMG 22474, KCTC 12219",1,"Winogradskyella eximia",Winogradskyella
140712,SFD31,"KCTC 52348, JCM 31798",1,"Winogradskyella flava",Winogradskyella
167323,HL857,"CECT 30056, CCUG 74323",1,"Winogradskyella forsetii",Winogradskyella
158305,M1A16,"DSM 103138, CCM 8681, CIP 111091, LMG 29588",1,"Winogradskyella haliclonae",Winogradskyella
167435,Z963,"CCUG 74333, CECT 30064",1,"Winogradskyella helgolandensis",Winogradskyella
130329,CP32,"DSM 25330, JCM 18454, KCTC 23835",1,"Winogradskyella jejuensis",Winogradskyella
133881,DPS-8,"KCTC 32110, CCUG 62215",1,"Winogradskyella litorisediminis",Winogradskyella
166593,,"KMM 6491, KCTC 23972, LMG 26984",1,"Winogradskyella litoriviva",Winogradskyella
167322,HL116,"CECT 30054, CCUG 74326",1,"Winogradskyella ludwigii",Winogradskyella
5663,A73,"DSM 22624, KCTC 23237",1,"Winogradskyella lutea",Winogradskyella
173155,,"CIP 109944, CECT 7476",1,"Winogradskyella lutea",Winogradskyella
170808,"W HY3","NCCB 100833, DSM 111804",1,"Winogradskyella luteola",Winogradskyella
170195,F6397,"MCCC 1H00438, KCTC 82422",1,"Winogradskyella marina",Winogradskyella
140799,,"KCTC 42189, CECT 8979, HME 9613",1,"Winogradskyella maritima",Winogradskyella
156503,T-Y1,"CCUG 62216, KCTC 23891",1,"Winogradskyella multivorans",Winogradskyella
167383,ZXX205,"JCM 33665, MCCC 1K03851",1,"Winogradskyella ouciana",Winogradskyella
133570,,"KCTC 22997, LMG 22568, KMM 6019",1,"Winogradskyella pacifica",Winogradskyella
158804,AFPH31,"CCM 8816, CIP 111546",1,"Winogradskyella pocilloporae",Winogradskyella
134141,UST030701-295,"NRRL B-41101, JCM 12885, CIP 108875, KCTC 62505",1,"Winogradskyella poriferorum",Winogradskyella
168576,Ch38,"KACC 19710, KMM 9725",1,"Winogradskyella profunda",Winogradskyella
133895,RS-3,"CIP 110154, NBRC 106169",1,"Winogradskyella psychrotolerans",Winogradskyella
133986,EM106,"KCTC 23858, NCAIMB 02481, NCAIM B 02481",1,"Winogradskyella pulchriflava",Winogradskyella
133495,SCB36,"CECT 7392, CCUG 56098",1,"Winogradskyella rapida",Winogradskyella
167321,Z215,"CECT 30061, CCUG 74330",1,"Winogradskyella schleiferi",Winogradskyella
140167,S5-23-3,"DSM 28134, CGMCC 1.12601, LMG 28075",1,"Winogradskyella sediminis",Winogradskyella
161733,,"JCM 16151",0,"Winogradskyella sp.",Winogradskyella
161753,,"JCM 16309",0,"Winogradskyella sp.",Winogradskyella
162003,,"JCM 17290",0,"Winogradskyella sp.",Winogradskyella
158240,sw102,"DSM 25631",0,"Winogradskyella sp.",Winogradskyella
169678,HaHa_3_26,"DSM 111041",0,"Winogradskyella sp.",Winogradskyella
159730,M1309,"KCTC 52896, MCCC 1K03310",1,"Winogradskyella tangerina",Winogradskyella
5662,"M-5Alg 9","DSM 15363, KCTC 12221, LMG 22492, KMM 3907",1,"Winogradskyella thalassocola",Winogradskyella
133721,,"KCTC 23626, LMG 26444, KMM 6390",1,"Winogradskyella ulvae",Winogradskyella
156648,,"CCUG 63832, KCTC 32261",1,"Winogradskyella undariae",Winogradskyella
167347,HL4150,"CCUG 74332, CECT 30057",1,"Winogradskyella ursingii",Winogradskyella
167319,HL634,"CECT 30055, CCUG 74322",1,"Winogradskyella vidalii",Winogradskyella
168995,WD-2-2,"CECT 8445, KCTC 32579",1,"Winogradskyella wandonensis",Winogradskyella
167426,Z738,"CECT 30063, CCUG 74325",1,"Winogradskyella wichelsiae",Winogradskyella
170637,"BAC 15a-03b","NCPPB 4696, LMG 32576",1,"Winslowiella arboricola",Winslowiella
24017,Th78,"DSM 26285, JCM 18634, KCTC 32142",1,"Wocania ichthyoenteri",Wocania
