ID,designation_header,strain_number_header,is_type_strain_header,species,genus
13468,05-51,"DSM 45122",0,"Saccharopolyspora sp.",Saccharopolyspora
169541,,"DSM 106630, YIM 122647",0,"Saccharopolyspora sp.",Saccharopolyspora
105429,ST033123(HKI),,0,"Saccharopolyspora sp.",Saccharopolyspora
105430,"ST020127(HKI), F050, BI 09602, P92, DoHKI36",,0,"Saccharopolyspora sp.",Saccharopolyspora
105431,"ST032834(HKI), E009",,0,"Saccharopolyspora sp.",Saccharopolyspora
13455,,"DSM 44228, ATCC 49460, NRRL 18395, JCM 9375, BCRC 16299, CGMCC 4.1365, CPCC 204088, IFO 15153, KACC 20097, NBRC 15153",1,"Saccharopolyspora spinosa",Saccharopolyspora
13456,,"DSM 44350, AS 4.198, JCM 10303, CGMCC 4.198, CPCC 202326, IFO 16190, KCTC 9939, NBRC 16190",1,"Saccharopolyspora spinosporotrichia",Saccharopolyspora
140589,,"DSM 103218, NRRL B-65384, CMAA 1452",1,"Saccharopolyspora spongiae",Saccharopolyspora
132513,T3,"DSM 46801, CGMCC 4.7206, JCM 33044",1,"Saccharopolyspora subtropica",Saccharopolyspora
13451,"LL-WRAT 210, WRAT 210","DSM 43856, ATCC 49842, IFO 15061, IMET 7648, NBRC 15061, NRRL B-16173, JCM 9383, CGMCC 4.1360, CGMCC 4.2117, IMSNU 20126, KCTC 9482",1,"Saccharopolyspora taberi",Saccharopolyspora
105420,"STH00227(ZIMET), GT20001003","ISP 5027, HKI 0227",0,"Saccharopolyspora taberi",Saccharopolyspora
168458,16K309,"JCM 33531, CGMCC 4.7613",1,"Saccharopolyspora terrae",Saccharopolyspora
13457,216,"DSM 44575, AS 4.1511, IFO 16346, JCM 10664, NBRC 16346, CGMCC 4.1511, KCTC 19903",1,"Saccharopolyspora thermophila",Saccharopolyspora
13472,,"DSM 45269, CCTCC AA 208062, YIM 65359, JCM 32123",1,"Saccharopolyspora tripterygii",Saccharopolyspora
133634,,"KCTC 22684, KCCM 42930, NBRC 105825, IMCC 4453, UCCCB35",1,"Saccharospirillum aestuarii",Saccharospirillum
167100,LZ-5,"KCTC 62460, CCTCC AB 2017232",1,"Saccharospirillum alexandrii",Saccharospirillum
166089,CPA1,"UCCCB45, CECT 9131, LMG 29516",0,"Saccharospirillum correiae",Saccharospirillum
14037,EL-105,"DSM 12546, CECT 5721, UCCCB5",1,"Saccharospirillum impatiens",Saccharospirillum
24541,EL-166,"DSM 12548",0,"Saccharospirillum impatiens",Saccharospirillum
159727,HK-33,"KCTC 62178, MCCC 1K03440",1,"Saccharospirillum mangrovi",Saccharospirillum
24542,YIM-Y25,"DSM 19800, KCTC 22169, CCTCC AA 207033, UCCCB26",1,"Saccharospirillum salsuginis",Saccharospirillum
131172,"YIM-Y25, CGMCC","DSM 17054",0,"Saccharospirillum salsuginis",Saccharospirillum
